brand,color,current_price,namex,original_price,stock_status,url
Realme,Beige,17170,"Realme 12 Plus 5G 12GB RAM, 512GB - Beige",20100,In stock,https://dream2000.com/en/realme-12-plus-5g-12gb-ram-512gb-beige.html
Realme,Green,11555,"Realme 12 5G 8GB RAM, 256GB - Green",13600,In stock,https://dream2000.com/en/realme-12-5g-8gb-ram-256gb-green.html
Realme,Purple,11555,"Realme 12 5G 8GB RAM, 256GB - Purple",13600,In stock,https://dream2000.com/en/realme-12-5g-8gb-ram-256gb-purple.html
Samsung,Blue,23333,"Samsung Galaxy A55 8GB RAM, 256GB - Ice Blue",27300,In stock,https://dream2000.com/en/samsung-galaxy-a55-8gb-ram-256gb-ice-blue.html
Samsung,Blue,21666,"Samsung Galaxy A55 8GB RAM, 128GB - Ice Blue",25400,In stock,https://dream2000.com/en/samsung-galaxy-a55-8gb-ram-128gb-ice-blue.html
Samsung,Awesome Lemon,21666,"Samsung Galaxy A55 8GB RAM, 128GB - Awesome Lemon",25400,In stock,https://dream2000.com/en/samsung-galaxy-a55-8gb-ram-128gb-awesome-lemon.html
Samsung,Navy,21666,"Samsung Galaxy A55 8GB RAM, 128GB - Awesome Navy",25400,In stock,https://dream2000.com/en/samsung-galaxy-a55-8gb-ram-128gb-awesome-navy.html
Samsung,Blue,15666,"Samsung Galaxy A35 8GB RAM, 256GB - Navy Blue",18400,In stock,https://dream2000.com/en/samsung-galaxy-a35-8gb-ram-256gb-navy-blue.html
Realme,Green,13777,"Realme 12 5G 8GB RAM, 512GB - Woodland Green",16200,In stock,https://dream2000.com/en/realme-12-5g-8gb-ram-512gb-woodland-green.html
Xiaomi,Purple,16999,"Xiaomi Redmi Note 13 Pro 12GB RAM, 512GB - Lavender Purple",19900,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-pro-12gb-ram-512gb-lavender-purple.html
Xiaomi,Black,16999,"Xiaomi Redmi Note 13 Pro 12GB RAM, 512GB - Midnight Black",19900,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-pro-12gb-ram-512gb-midnight-black.html
Realme,Black,7770,"Realme C67 6GB RAM, 128GB - Black Rock",9100,In stock,https://dream2000.com/en/realme-c67-6gb-ram-128gb-black-rock.html
itel,Blue,690,ITel it2160 1.7 inch - Dual SIM - Dark Blue,900,In stock,https://dream2000.com/en/itel-it2160-1-7-inch-dual-sim-dark-blue.html
